part,char,n
1,Andrei,2
1,Pierre,8
1,Natasha,3
2,Andrei,7
2,Pierre,0
2,Natasha,0
3,Andrei,2
3,Pierre,8
3,Natasha,0
4,Andrei,1
4,Pierre,1
4,Natasha,11
5,Andrei,2
5,Pierre,18
5,Natasha,0
6,Andrei,15
6,Pierre,4
6,Natasha,20
7,Andrei,0
7,Pierre,0
7,Natasha,12
8,Andrei,1
8,Pierre,5
8,Natasha,7
9,Andrei,2
9,Pierre,2
9,Natasha,8
10,Andrei,6
10,Pierre,6
10,Natasha,0
11,Andrei,3
11,Pierre,7
11,Natasha,9
12,Andrei,3
12,Pierre,1
12,Natasha,3
13,Andrei,0
13,Pierre,5
13,Natasha,0
14,Andrei,0
14,Pierre,6
14,Natasha,0
15,Andrei,0
15,Pierre,16
15,Natasha,12
16,Andrei,0
16,Pierre,13
16,Natasha,7
17,Andrei,0
17,Pierre,0
17,Natasha,0
